neighborhood,bhk,area_sqft,price_inr,age_years,amenities,listed_on
Bandra,2,1281.0,5707063.0,30,"Parking, Security, Pool",12/04/2024
Thane,2,1319.0,21288877.0,31,"Parking, Garden",11/03/2025
Bandra,2,518.0,9155372.0,20,"Parking, Security, Gym, Garden",2024-12-14
Dadar,4,1178.0,8045547.0,17,"Gym, Garden",27/09/2024
Navi Mumbai,3,836.0,9178626.0,17,"Garden, Security",16-Apr-24
Juhu,2,948.0,10830714.0,0,"Pool, Security, Gym",12-Mar-24
Goregaon,1,944.0,8460960.0,13,"Pool, Garden",07/07/2024
Andheri,3,,6557926.0,7,Garden,"January 21, 2024"
Juhu,1,1433.0,6915298.0,1,"Garden, Gym, Parking",12-Apr-24
Goregaon,2,421.0,11797116.0,14,"Garden, Gym, Security",01/05/2024
Navi Mumbai,1,297.0,9857290.0,33,"Security, Pool, Garden",11-Apr-25
Navi Mumbai,3,250.0,14892761.0,35,"Parking, Security, Garden",02-Aug-24
Andheri,2,,11199926.0,0,"Security, Pool, Garden",2024-11-26
Andheri,2,629.0,11366812.0,20,Gym,03/04/2025
Navi Mumbai,4,,15489723.0,0,"Garden, Security, Pool, Gym",28-Mar-24
Goregaon,2,859.0,25427729.0,31,"Parking, Security, Pool, Gym","January 07, 2025"
Bandra,2,589.0,26047007.0,19,"Garden, Pool, Security, Parking",09/04/2024
Borivali,2,1198.0,24257681.0,35,"Garden, Parking","December 25, 2024"
Powai,1,855.0,18297399.0,38,"Gym, Pool, Garden",31/05/2024
Juhu,3,816.0,37929752.0,29,Pool,"May 10, 2024"
Thane,1,981.0,14114233.0,6,Gym,"May 29, 2024"
Juhu,2,1152.0,13194722.0,21,"Security, Pool, Gym",04/11/2024
Thane,3,564.0,41714225.0,9,"Security, Parking",2024-09-14
Goregaon,3,1205.0,2114690.0,7,"Garden, Parking, Pool, Security",2024-12-09
Thane,3,1407.0,9546280.0,26,"Gym, Parking, Security",06/05/2025
Andheri,2,400.0,23011334.0,9,"Pool, Garden, Security",17-Feb-25
Borivali,1,997.0,19543587.0,13,"Security, Gym",20/10/2024
Borivali,3,793.0,50596398.0,10,"Security, Gym, Garden, Pool",20/01/2025
Andheri,2,1144.0,11576543.0,5,"Pool, Security",10-Jul-24
Dadar,3,474.0,8381265.0,20,Pool,19/03/2025
Goregaon,3,1470.0,8892770.0,32,"Security, Gym, Garden",03/10/2024
